,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
0,Number of taxable returns,#,2011,17429010,39800,185610,559100,966160,1433050,1444480,1486360,1445000,1357270,1143040,989690,849000,1385860,1061130,778850,573360,1105540,413720,212010
1,Number of non-taxable returns,#,2011,8904930,2689390,1785790,1933640,1561560,525350,190250,89750,47750,27430,17390,10930,6870,8150,3660,1870,1110,2430,1180,440
2,Total number of returns,#,2011,26333940,2729190,1971390,2492740,2527720,1958400,1634730,1576110,1492750,1384700,1160440,1000620,855870,1394010,1064790,780730,574460,1107970,414890,212450
3,Employment income,#,2011,17311520,1503610,1034160,1126820,1099500,1103620,1073320,1089420,1088160,1021770,905660,802280,701650,1158070,923520,689170,515340,971790,342050,161610
4,Commissions (from employment),#,2011,509970,10240,22410,30760,32660,33440,32770,31380,30410,28410,25860,23400,20790,34620,27010,21410,17000,47030,25920,14440
5,Other employment income,#,2011,2318870,62260,80380,94910,97190,115630,131150,150690,159900,160200,142560,126970,114360,199820,164160,119800,88030,195190,77660,38020
6,Old Age Security pension,#,2011,5057880,89500,165780,558900,1095800,648580,420440,378050,313300,281770,198070,153300,123850,197720,116370,73260,47590,104640,52980,37980
7,CPP or QPP benefits,#,2011,6312040,133160,298780,654990,1152910,751250,522090,479760,412350,380180,277250,218670,176890,272950,164450,104340,67130,139930,63310,41660
8,Other pensions or superannuation,#,2011,3881670,19000,40190,118700,383520,503360,389840,380880,340730,326740,243870,195140,159160,246180,151170,97760,63560,134300,56620,30960
9,Elected split-pension amount,#,2011,1111300,11110,27580,80340,147930,138230,98400,117300,98940,118600,51720,32290,27510,56080,33150,22980,13700,23190,8190,4050
10,Universal Child Care Benefit,#,2011,1680310,387030,158140,173830,142200,121400,109470,100360,90270,76500,62450,50890,41020,59070,38810,24850,15970,20680,5880,1500
11,Employment Insurance and other benefits,#,2011,2629270,40050,106780,218440,293200,311200,300730,273130,232990,190680,147000,112720,87460,121580,75340,43970,26150,39780,6750,1330
12,Taxable amount of dividends from taxable Canadian corporations,#,2011,4051670,94070,80460,140100,209180,230270,212120,229900,238980,255400,221940,204330,183140,329720,265270,212070,166830,412530,217750,147610
13,Interest and other investment income,#,2011,6599190,303370,237110,376560,577610,522330,424750,421800,403770,400840,332190,290790,254420,433920,340680,261380,200740,448140,217550,151260
14,Net partnership income,#,2011,111940,11500,1120,1220,1570,1830,1920,2240,2490,2970,3070,3030,2970,6140,5750,5410,4940,16880,15120,21780
15,Registered disability savings plan income,#,2011,240,20,40,80,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Net rental income,#,2011,1413750,56870,52110,73420,89480,90700,83490,84270,83980,83760,74210,67370,60540,105370,85170,67570,52130,116370,53410,33530
17,Taxable capital gains,#,2011,2062080,59870,51500,74800,105170,117250,106480,112990,115670,122830,106870,97170,88880,160460,130570,104780,83770,211370,119230,92430
18,Support payments received,#,2011,88500,3420,5750,8520,10000,9420,7480,6890,5960,5300,4340,3660,2930,4500,3010,1960,1520,2710,820,290
19,Registered Retirement Savings Plan income,#,2011,2316590,72050,67150,103570,133060,152790,151740,165380,172400,173560,151560,135370,118770,195460,145780,105910,75590,138420,43140,14900
20,Other income,#,2011,3965630,194800,232740,265720,269900,261550,234290,239260,238090,238320,200600,174320,153440,262580,208790,160680,122690,277640,136850,93360
21,Net business income,#,2011,2018610,171070,221190,265620,212750,168330,135470,114800,100210,90090,74640,62830,53600,86650,64390,47980,34570,71370,28170,14900
22,Net professional income,#,2011,335580,15140,18520,22950,20000,17050,14670,13520,12940,12360,11310,10570,9920,18370,16090,13620,11490,35920,31110,30050
23,Net commission income,#,2011,216770,16460,17720,21780,19060,16780,14250,13000,11810,10810,9210,8010,6890,11130,8590,6650,4850,11620,5780,2390
24,Net farming income,#,2011,353350,22220,20660,32930,30170,25810,22180,21470,19860,21140,16050,14090,12040,21080,15470,12060,8820,20940,9950,6400
25,Net fishing income,#,2011,29610,890,1100,2080,2760,3280,3160,2750,2310,2190,1620,1350,1120,1600,1010,680,410,920,290,100
26,Workers' compensation benefits,#,2011,625160,8300,17650,35610,57020,70720,67880,64710,58130,48760,40640,32160,25800,35350,22030,14570,9280,13250,2620,680
27,Social assistance payments,#,2011,1576530,108990,418530,541180,276330,125710,47040,22580,12430,7440,4750,3000,2020,2550,1290,820,510,850,340,190
28,Net federal supplements,#,2011,1919290,30010,107230,445510,873460,317530,70860,31010,16770,9070,4800,2850,1980,2790,1420,900,610,1320,750,430
29,Total income assessed,#,2011,26094480,2489730,1971390,2492740,2527720,1958400,1634730,1576110,1492750,1384700,1160440,1000620,855870,1394010,1064790,780730,574460,1107970,414890,212450
30,Registered pension plan contributions,#,2011,4743860,19950,35670,56850,84950,124300,172940,245390,328020,351910,353490,342330,322020,559900,490430,374200,290490,442800,113070,35140
31,RRSP deduction,#,2011,6130560,25550,31210,73060,132640,197940,259780,332990,396990,426770,422750,400360,366870,638200,545690,428820,335930,702930,275290,136770
32,Deduction for elected split-pension amount,#,2011,1111270,420,1550,4160,14330,60150,84360,98040,109200,110350,103160,87860,71840,105010,71960,47190,32810,68730,27400,12770
33,"Annual union, professional, or like dues",#,2011,5692050,122000,180190,214440,225620,256680,292980,343160,398000,399940,380340,356270,328050,562880,486080,360290,270310,393590,92500,28740
34,Universal Child Care Benefit repayment,#,2011,12740,3500,2050,2350,1330,810,510,410,360,260,220,170,130,210,140,100,70,100,30,0
35,Child care expenses,#,2011,1262030,36400,52500,71030,86720,97790,104700,108690,107260,94540,81390,68810,58190,89430,65450,43640,30510,45440,14430,5150
36,Disability supports deductions,#,2011,1300,20,50,90,110,140,110,120,90,70,60,60,40,70,70,30,40,80,30,30
37,Business investment loss,#,2011,10930,350,220,290,400,490,500,580,630,600,540,540,490,830,800,630,500,1370,680,500
38,Moving expenses,#,2011,105380,3100,5440,7200,7780,8090,8250,7430,6740,6190,5610,5120,4440,7360,5600,4360,3200,6600,2190,680
39,Support payments made,#,2011,74980,510,480,890,1300,1780,2230,2810,3190,3390,3300,3450,3410,6320,5990,5300,4630,12670,7390,5940
40,Carrying charges and interest expenses,#,2011,2461290,32400,32920,61200,116380,142800,134400,144240,148710,154120,137830,125730,113380,201600,164780,133370,106890,262390,140890,107240
41,Deductions for CPP or QPP contributions on self-employment and other earnings,#,2011,1579910,30630,196060,252500,192740,151090,121840,100100,86730,77330,62250,44860,33360,48540,33110,24630,18010,47350,32170,26630
42,Deductions for provincial parental insurance plan (PPIP) premiums on self-emplo,#,2011,420940,15010,43550,64330,52560,41010,32370,25680,21410,18120,14880,12530,10830,15930,9100,6500,4740,12770,10420,9210
43,Exploration and development expenses,#,2011,86470,5920,460,460,620,870,1050,1240,1470,1840,2010,2110,2110,4410,4430,4250,3890,14290,13880,21180
44,Other employment expenses,#,2011,835940,3570,5670,11000,19080,27530,35010,40830,45480,49270,50860,50840,48330,85300,70130,57280,47330,113920,49990,24540
45,Clergy residence deduction,#,2011,28140,60,190,320,570,960,1510,2140,2310,2480,2550,2440,2430,3930,2490,1470,820,1210,220,50
46,Other deductions,#,2011,795290,30630,33180,52630,71400,76880,72140,68310,61320,52340,42080,33640,27730,41700,29150,20780,15120,33730,17470,15070
47,Total deductions before adjustments,#,2011,14189640,281640,487510,649190,724290,821560,863640,944960,1008770,995870,907020,812940,717600,1192320,950790,709070,530730,1017210,380620,193900
48,Social benefits repayment,#,2011,499600,0,0,0,0,0,0,0,0,0,0,0,17970,72480,99500,72380,50180,110340,46850,29900
49,Net income after adjustments,#,2011,25985360,2388070,1968950,2491400,2526990,1957850,1634350,1575780,1492490,1384500,1160290,1000500,855750,1393840,1064650,780630,574380,1107780,414780,212370
50,Canadian Forces personnel and police deduction,#,2011,9250,10,20,40,30,30,30,40,50,120,390,510,1050,2490,1580,930,580,1170,150,40
51,Employee home relocation loan deduction,#,2011,1520,0,10,0,10,10,10,20,20,20,10,20,30,40,60,90,100,430,390,240
52,Security options deductions,#,2011,51490,100,150,220,320,400,440,470,650,680,740,850,940,2010,2010,2060,2070,10150,11870,15370
53,Other payments deductions,#,2011,3823400,145460,536460,966460,1063800,454350,170630,112600,84450,63580,49170,37410,29420,40090,24470,16060,10240,14820,3060,900
54,Limited partnership losses of other years,#,2011,2000,10,0,0,10,20,30,30,30,50,40,60,60,130,120,110,120,390,310,490
55,Non-capital losses of other years,#,2011,33510,1680,750,3450,4580,4260,3510,2800,2200,1790,1400,1070,850,1370,890,570,410,1000,530,400
56,Net capital losses of other years,#,2011,555880,3570,3710,8460,15400,24460,25780,29690,31230,34770,30960,28450,26260,48720,40030,32860,26160,70490,41700,33190
57,Capital gains deduction,#,2011,60850,440,360,740,1220,1590,1730,2030,2160,2270,2230,2280,2140,4680,3740,3140,2610,8730,7980,10780
58,Northern residents deductions,#,2011,253550,2330,3190,6960,11540,13120,13210,13360,12560,12430,11750,11050,10380,19960,18280,16820,14650,38990,18970,4000
59,Additional deductions,#,2011,207980,8910,10820,19610,33060,30560,19160,16080,13060,10730,7810,5760,4670,7480,4890,3350,2330,5320,2780,1600
60,Farming/fishing losses of prior years,#,2011,14080,240,180,870,1140,1250,1090,1010,910,810,650,610,510,950,720,570,480,1070,610,400
61,Total deductions from net income,#,2011,4871710,161600,552370,994940,1100860,506900,226040,171320,141810,122560,101270,84810,73540,122770,93140,73660,57410,145320,81730,59680
62,Taxable income assessed,#,2011,25304630,2310890,1715480,2224180,2485140,1937790,1626920,1571340,1489430,1382670,1158940,1000030,855410,1393390,1064340,780430,574220,1107330,414470,212250
63,Basic personal amount,#,2011,26277110,2696070,1967470,2489650,2525500,1956660,1633330,1574980,1491750,1383910,1159700,999980,855330,1393190,1064070,780130,574040,1106450,413680,211250
64,Age amount,#,2011,4837090,107360,170800,561290,1096860,649450,421180,378760,313960,282380,198580,153710,124170,198220,111040,37210,16260,13680,1490,720
65,Spouse or common-law partner amount,#,2011,2088680,127220,111110,164520,206160,188930,145060,126250,111780,97330,84700,75620,67210,115830,96810,77560,61230,139940,59670,31760
66,Amount for eligible dependant,#,2011,963540,72760,82950,115140,96760,80260,69610,65360,60820,51050,42750,35610,29120,45630,34820,24750,17480,27350,8070,3260
67,Amount for children 17 and under,#,2011,3762940,189210,155160,216880,214010,207940,203000,210690,215310,205690,191390,177780,162610,287230,249660,201080,159600,321550,127300,66870
68,Amount for infirm dependants age 18 or older,#,2011,12970,250,290,450,700,960,920,960,970,850,820,760,610,1020,820,640,450,940,390,200
69,CPP or QPP contributions through employment,#,2011,14875540,270910,793320,980470,1003900,1024280,1003860,1022080,1024200,957630,852290,756200,661850,1093660,880480,661070,496300,928740,320170,144130
70,CPP or QPP contributions self-employment,#,2011,1579910,30630,196060,252500,192740,151090,121840,100100,86730,77330,62250,44860,33360,48540,33110,24630,18010,47350,32170,26630
71,Employment Insurance premiums,#,2011,14894710,515800,895540,985990,992610,1010170,993600,1009400,1011430,946490,841050,744820,655040,1074350,859850,639440,478010,861970,273140,106030
72,Employment Insurance premiums payable on self-employment,#,2011,4650,150,440,640,640,540,450,360,270,230,200,140,120,180,100,70,30,70,20,0
73,PPIP premiums paid,#,2011,3707430,123230,218610,252260,264540,276850,282840,300060,298600,257140,220260,190000,161040,253060,194670,117130,79620,148150,46830,22550
74,PPIP premiums payable on employment income,#,2011,110410,2570,5430,6570,6210,5760,5510,5460,5580,5840,6050,6170,6170,10500,8150,6430,4990,9630,2660,740
75,PPIP premiums payable on self-employment income,#,2011,426730,15190,43930,64880,53170,41560,32910,26150,21840,18520,15210,12860,11120,16290,9200,6550,4770,12840,10490,9250
76,Volunteer firefighters' amount,#,2011,39020,810,770,1080,1580,1890,2310,2750,2990,3050,2950,2680,2370,4020,3030,2110,1610,2540,410,60
77,Canada employment amount,#,2011,17304960,867210,1055340,1151840,1132260,1155270,1132870,1159220,1158030,1086340,953890,838210,729300,1197870,947640,704860,525650,992670,350730,165760
78,Public transit amount,#,2011,1642250,90810,106380,131840,130300,124750,113230,106910,102740,93510,82840,73440,64310,104440,82370,61160,45870,88780,28030,10560
79,Children's fitness amount,#,2011,1588470,21320,19400,31380,42250,52350,61730,72810,83010,86000,86200,84960,81430,152050,143490,122310,102870,210680,87210,47020
80,Children's arts amount,#,2011,480500,6060,5340,8470,11550,13940,16330,18880,21410,22290,22580,22280,22080,42800,43240,39070,34960,75890,34010,19330
81,Home buyers' amount,#,2011,187140,1730,1380,2750,5170,8370,11500,14850,17090,17210,16140,15010,13280,20970,14270,9250,5780,9460,2370,590
82,Adoption expenses,#,2011,2450,20,20,30,60,60,80,100,120,140,150,150,120,260,230,180,160,360,140,60
83,Pension income amount,#,2011,4528700,27710,62790,184350,487550,589210,446560,434240,385430,375100,271800,214210,174380,271280,170020,112070,74230,151410,62500,33880
84,Caregiver amount,#,2011,205640,3970,3760,6130,9930,13020,14620,16000,16300,15700,13920,12330,10260,16770,13040,10250,7740,15110,4800,2000
85,Disability amount,#,2011,649680,30690,49680,100380,87560,78880,61090,51280,40880,33220,24020,18020,14020,20060,11960,7390,4860,9380,3830,2480
86,Disability amount transferred from a dependant,#,2011,218090,6020,4860,7370,9700,11620,12860,14530,15270,15160,13760,12430,11160,18550,15260,12190,9460,18190,6600,3110
87,Interest paid on student loans,#,2011,628760,4640,4810,15310,33150,46130,55360,60730,61550,56260,48920,43070,36550,57800,39620,24160,14030,19990,5150,1530
88,"Tuition, education, and textbook amounts",#,2011,1704650,650,1180,206930,290990,217660,173100,141690,116340,96040,78440,65530,54210,83280,57710,39630,26770,40610,10400,3490
89,"Tuition, education, and textbook amounts transferred from a child",#,2011,716370,680,670,3170,10100,17830,24490,31310,37480,39730,39740,38870,37110,68060,67320,58290,50030,112880,49500,29140
90,Amounts transferred from spouse or common-law partner,#,2011,1176790,156370,75130,158650,155500,132910,100560,81030,62380,43830,32040,25720,21210,33160,25070,18480,13600,27310,9570,4270
91,Medical expenses,#,2011,4339800,99700,123940,247860,490180,567320,489610,453460,389670,327810,230150,174570,133330,188140,115480,70670,48710,105800,49390,34040
92,Total tax credits on personal amounts,#,2011,26286000,2697360,1968660,2490500,2526160,1957240,1633820,1575340,1492080,1384160,1159930,1000170,855490,1393460,1064290,780310,574180,1106960,414120,211780
93,Allowable charitable donations and government gifts,#,2011,5895670,12240,19940,70160,186680,310130,342780,393550,414320,418430,382110,352000,318140,551920,459230,364080,288650,602750,256740,151790
94,Eligible cultural and ecological gifts,#,2011,6400,80,80,180,440,430,430,450,440,450,430,390,330,510,440,340,230,440,190,140
95,Total tax credit on donations and gifts,#,2011,5850550,10860,18770,68030,182930,305750,338530,389280,410340,414850,379140,349580,316120,548810,457190,362820,287830,601490,256520,151730
96,Total federal non-refundable tax credits,#,2011,26287010,2697450,1968810,2490690,2526300,1957330,1633870,1575400,1492100,1384190,1159940,1000180,855500,1393470,1064310,780320,574190,1106980,414140,211850
97,Federal dividend tax credit,#,2011,3608470,10310,8040,53340,100370,170830,188680,220190,235570,254710,222280,205230,184240,331910,267250,213410,167840,413230,216290,144760
98,Overseas employment tax credit,#,2011,8020,0,0,20,50,60,60,100,110,150,160,180,210,410,420,480,480,2300,2050,770
99,Minimum tax carryover,#,2011,40700,0,0,360,870,1370,1640,1740,1750,1940,1600,1620,1560,3360,2850,2390,1920,6540,5050,4140
100,Basic federal tax,#,2011,16446030,14510,20980,397310,855890,1241560,1320150,1415230,1401350,1328120,1124450,975800,841390,1376540,1056610,776420,572010,1103340,412930,211440
101,Federal Foreign Tax Credit,#,2011,1098550,140,260,6400,18330,36690,45960,57240,63450,71310,63670,58560,54620,100950,84240,68800,56050,147870,89950,74070
102,Federal political contribution tax credit,#,2011,184390,0,0,590,1850,5160,6980,9290,10640,11870,10960,10340,9760,18600,14970,12050,9660,24700,14140,12830
103,Investment tax credit,#,2011,49970,0,0,420,840,1110,1210,1270,1320,1450,1460,1420,1380,2710,2650,2460,2290,7990,7690,12290
104,Labour-sponsored funds tax credit,#,2011,320840,20,30,440,2510,5950,10950,18780,27300,26820,26890,26060,23980,41350,35530,22230,15530,28070,6680,1720
105,Alternative minimum tax payable,#,2011,35960,90,20,30,20,30,30,40,50,50,60,90,150,480,1800,2970,3120,12070,7970,6900
106,Net federal tax,#,2011,16394850,14060,20400,391610,848930,1233730,1315500,1411630,1398420,1325750,1122470,974100,839920,1374240,1054880,775170,571050,1100850,411480,210670
107,CPP contributions on self-employment,#,2011,1203100,23470,158090,192470,143400,112270,91000,75560,66080,59870,48460,35160,26010,37720,25660,18980,13730,35460,22080,17650
108,Employment Insurance premiums payable on self-employment,#,2011,4650,150,440,640,640,540,450,360,270,230,200,140,120,180,100,70,30,70,20,0
109,Social benefits repayment,#,2011,499600,0,0,0,0,0,0,0,0,0,0,0,17970,72480,99500,72380,50180,110340,46850,29900
110,Net Provincial Tax,#,2011,12377880,7970,18970,118640,455830,964760,1020370,1052280,1037740,999680,852220,742370,645470,1072250,829780,636940,476940,921000,347850,176820
111,Yukon first nations tax,#,2011,900,0,0,0,40,60,90,80,80,80,70,70,70,100,70,50,20,20,0,0
112,Total tax payable,#,2011,17429010,39800,185610,559100,966160,1433050,1444480,1486360,1445000,1357270,1143040,989690,849000,1385860,1061130,778850,573360,1105540,413720,212010
113,Number of taxable returns,#,2010,17166850,43060,190550,606270,1033480,1471530,1471950,1509020,1451660,1342350,1126670,965370,826030,1331490,997390,731890,512790,991840,370400,193130
