,tax_year,Loss and nil (number),Loss and nil(amount),"1 - 10,000 (number)","1 - 10,000 (amount)","10,000 - 15,000 (number)","10,000 - 15,000 (amount)","15,000 - 20,000 (number)","15,000 - 20,000 (amount)","20,000 - 25,000 (number)","20,000 - 25,000 (amount)","25,000 - 30,000 (number)","25,000 - 30,000 (amount)","30,000 - 35,000 (number)","30,000 - 35,000 (amount)","35,000 - 40,000 (number)","35,000 - 40,000 (amount)","30,000 - 40,000 (number)","30,000 - 40,000 (amount)","40,000 - 45,000 (number)","40,000 - 45,000 (amount)","45,000 - 50,000 (number)","45,000 - 50,000 (amount)","40,000 - 50,000 (number)","40,000 - 50,000 (amount)","50,000 - 60,000 (number)","50,000 - 60,000 (amount)","60,000 - 70,000 (number)","60,000 - 70,000 (amount)","70,000 - 80,000 (number)","70,000 - 80,000 (amount)","80,000 - 90,000 (number)","80,000 - 90,000 (amount)","90,000 - 100,000 (number)","90,000 - 100,000 (amount)","50,000 - 100,000 (number)","50,000 - 100,000 (amount)","100,000 - 150,000 (number)","100,000 - 150,000 (amount)","150,000 - 250,000 (number)","150,000 - 250,000 (amount)","250,000 and over (number)","250,000 and over (amount)","50,000 and over (number)","50,000 and over(amount)",Grand Total (number),Grand total (amount),item
0,2008.0,1040.0,0.0,220970.0,0.0,739950.0,0.0,1271730.0,0.0,1471790.0,0.0,1425880.0,0.0,1515130.0,0.0,1479760.0,0.0,2994890.0,0.0,1268180.0,0.0,1079010.0,0.0,2347190.0,0.0,1703350.0,0.0,1267540.0,0.0,943150.0,0.0,692230.0,0.0,452510.0,0.0,5058770.0,0.0,887140.0,0.0,338030.0,0.0,187660.0,0.0,6471590.0,0.0,16945020.0,0.0,Number of Taxable Returns
1,2008.0,763890.0,0.0,3590770.0,0.0,1857050.0,0.0,1171910.0,0.0,348840.0,0.0,121400.0,0.0,64410.0,0.0,36180.0,0.0,100590.0,0.0,23690.0,0.0,11470.0,0.0,35160.0,0.0,16690.0,0.0,4270.0,0.0,4320.0,0.0,1100.0,0.0,450.0,0.0,26830.0,0.0,2650.0,0.0,590.0,0.0,370.0,0.0,30430.0,0.0,8020040.0,0.0,Number of Non-Taxable Returns
2,2008.0,764930.0,0.0,3811740.0,0.0,2597000.0,0.0,2443640.0,0.0,1820630.0,0.0,1547270.0,0.0,1579550.0,0.0,1515940.0,0.0,3095480.0,0.0,1291870.0,0.0,1090480.0,0.0,2382350.0,0.0,1720040.0,0.0,1271810.0,0.0,947470.0,0.0,693330.0,0.0,452950.0,0.0,5085600.0,0.0,889780.0,0.0,338620.0,0.0,188030.0,0.0,6502020.0,0.0,24965060.0,0.0,Total Number of Returns
3,2008.0,21900.0,289684.0,2005180.0,9263846.0,1176620.0,11637912.0,1162060.0,16242277.0,1095170.0,20061076.0,1065660.0,24357725.0,1115720.0,30718347.0,1101410.0,35696518.0,2217140.0,66414864.0,1016750.0,37712869.0,865920.0,35991455.0,1882670.0,73704323.0,1426040.0,69476044.0,1072020.0,61813230.0,823310.0,55226444.0,615050.0,46961878.0,402320.0,33933221.0,4338730.0,267410817.0,775320.0,78726266.0,273580.0,39349139.0,142200.0,56204579.0,5529840.0,441690800.0,16156230.0,663662507.0,Employment Income
4,2008.0,760.0,7676.0,44450.0,27739.0,33220.0,50171.0,35820.0,76617.0,31430.0,137398.0,30340.0,139558.0,30610.0,218371.0,32770.0,287109.0,63380.0,505479.0,28710.0,316849.0,22710.0,292937.0,51420.0,609785.0,39800.0,598410.0,33380.0,713051.0,28560.0,794152.0,20960.0,739553.0,17070.0,613347.0,139770.0,3458513.0,44710.0,2315205.0,22710.0,2067446.0,12360.0,3603690.0,219540.0,11444855.0,510360.0,12999278.0,Commissions (from Employment)
5,2008.0,4270.0,108590.0,143870.0,394547.0,108130.0,376774.0,115110.0,436258.0,118140.0,410067.0,117560.0,446325.0,163320.0,490516.0,159510.0,506427.0,322830.0,996943.0,155630.0,443006.0,137960.0,395702.0,293590.0,838707.0,234730.0,706334.0,197890.0,670584.0,149410.0,442496.0,115270.0,391417.0,83100.0,318929.0,780400.0,2529760.0,175590.0,924070.0,68930.0,830502.0,38010.0,2884508.0,1062930.0,7168839.0,2286430.0,11177051.0,Other Employment Income
6,2008.0,5870.0,31904.0,197630.0,812883.0,658530.0,3151806.0,954540.0,5522172.0,518710.0,3011494.0,339290.0,1977430.0,341960.0,1993926.0,297050.0,1727080.0,639010.0,3721005.0,202040.0,1172632.0,164280.0,947918.0,366320.0,2120551.0,216620.0,1245011.0,158690.0,912649.0,92540.0,536295.0,57010.0,331069.0,36230.0,206833.0,561100.0,3231857.0,74620.0,428041.0,36190.0,205223.0,25040.0,139707.0,696950.0,4004828.0,4376850.0,24354073.0,Old Age Security Pension
7,2008.0,10220.0,51451.0,432450.0,1345384.0,732700.0,2929117.0,1075440.0,6085328.0,620560.0,4176458.0,445500.0,3137666.0,450310.0,3262418.0,406110.0,2866755.0,856420.0,6129174.0,285910.0,2099675.0,239970.0,1757381.0,525880.0,3857056.0,317740.0,2387910.0,225160.0,1673082.0,135730.0,996242.0,83840.0,617722.0,52650.0,386928.0,815120.0,6061886.0,109460.0,822693.0,49720.0,386116.0,34300.0,275923.0,1008610.0,7546618.0,5707770.0,35258254.0,CPP or QPP Benefits
8,2008.0,2690.0,48374.0,47670.0,134531.0,83140.0,310143.0,285570.0,1104195.0,327250.0,2017023.0,273020.0,2488252.0,313430.0,3839559.0,298900.0,4330010.0,612320.0,8169569.0,232380.0,4291633.0,200690.0,4300096.0,433070.0,8591729.0,277980.0,6505093.0,191890.0,4944007.0,119400.0,3306751.0,76230.0,2166267.0,47770.0,1484874.0,713270.0,18406993.0,95460.0,3121212.0,37730.0,1463374.0,18760.0,1077294.0,865210.0,24068872.0,2929930.0,46932689.0,Other Pensions or Superannuation
9,2008.0,9740.0,15421.0,513820.0,806632.0,179720.0,265023.0,139140.0,200703.0,126300.0,182235.0,114990.0,164832.0,105250.0,148607.0,84980.0,123534.0,190230.0,272142.0,71140.0,103378.0,56580.0,80558.0,127720.0,183936.0,74500.0,108769.0,42370.0,64825.0,30960.0,44832.0,20590.0,30633.0,10920.0,16678.0,179340.0,265738.0,14850.0,22868.0,3900.0,6283.0,1350.0,2215.0,199440.0,297104.0,1601090.0,2388027.0,Universal Child Care Benefit
10,2008.0,3130.0,14135.0,158290.0,580770.0,226730.0,1154369.0,301030.0,1805725.0,289160.0,1932327.0,278830.0,1954301.0,249130.0,1710525.0,209520.0,1324009.0,458640.0,3034534.0,163100.0,980416.0,122040.0,737794.0,285140.0,1718209.0,159890.0,913153.0,91630.0,480882.0,55940.0,291558.0,35020.0,158703.0,17810.0,74353.0,360300.0,1918649.0,23260.0,109092.0,4790.0,24993.0,1020.0,6495.0,389370.0,2059229.0,2390320.0,14253599.0,Employment Insurance Benefits
11,2008.0,8790.0,23769.0,199050.0,127852.0,171840.0,153895.0,230540.0,305275.0,231000.0,385664.0,207250.0,504542.0,245540.0,681371.0,265790.0,956335.0,511330.0,1637706.0,226420.0,1044984.0,218220.0,1021290.0,444640.0,2066274.0,357830.0,1968120.0,301030.0,2022068.0,242970.0,1920147.0,196690.0,1711624.0,143240.0,1414046.0,1241750.0,9036004.0,338970.0,5202218.0,173320.0,5050891.0,128080.0,17112906.0,1882120.0,36402019.0,3886560.0,41606996.0,Taxable Amount of Dividends
12,2008.0,24500.0,50671.0,780750.0,731657.0,560790.0,811242.0,852790.0,1747898.0,672000.0,2090918.0,571750.0,2092651.0,597850.0,2700862.0,596650.0,3059696.0,1194500.0,5760558.0,492100.0,2447032.0,442110.0,2301289.0,934210.0,4748321.0,700270.0,3886163.0,540180.0,3302000.0,410230.0,2465748.0,310160.0,1866048.0,211480.0,1300839.0,2172310.0,12820798.0,454110.0,3503168.0,206910.0,2445513.0,147690.0,5317994.0,2981020.0,24087473.0,8572300.0,42121390.0,Investment Income and Other Investment Income
13,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,790.0,0.0,0.0,180.0,790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,0.0,0.0,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,210.0,809.0,Registered Disability Savings Plan Income
14,2008.0,15210.0,-150219.0,93760.0,47418.0,66530.0,98599.0,94210.0,137271.0,84810.0,162965.0,78600.0,97780.0,87050.0,110440.0,86570.0,125493.0,173620.0,235932.0,80140.0,118830.0,75130.0,104573.0,155270.0,223403.0,110400.0,134155.0,89270.0,192644.0,70730.0,138621.0,56460.0,137431.0,41670.0,106123.0,368520.0,708974.0,87610.0,351164.0,43080.0,307673.0,28710.0,915648.0,527930.0,2283459.0,1289950.0,3136608.0,Net Rental Income
