,Grand total #/Total global #,Grand total $/Total global $,Loss and nil #/Perte et néant # ,Loss and nil $/Perte et néant $,1 - 4999 #,1 - 4999 $,5000 - 9999 #,5000 - 9999 $,10000 - 14999 # ,10000 - 14999 $,15000 - 19999 #,15000 - 19999 $,20000 - 24999 #,20000 - 24999 $,25000 - 29999 #,25000 - 29999 $,30000 - 34999 #,30000 - 34999 $,35000 - 39999 #,35000 - 39999 $40000 - 44999 #,40000 - 44999 #,40000 - 44999 $,45000 - 49999 #,45000 - 49999 $,50000 - 54999 #,50000 - 54999 $,55000 - 59999 #,55000 - 59999 $,60000 - 69999 #,60000 - 69999 $,70000 - 79999 #,70000 - 79999 $,80000 - 89999 #,80000 - 89999 $,90000 - 99999 #,90000 - 99999 $,100000 - 149999 #,100000 - 149999 $,150000 - 249999 #,150000 - 249999 $,250000 and over #/250 000 et plus #,250000 and over $/250 000 et plus $,CODE1,iteme,itemf,CODE2,item_e
0,17023050,0,750,0,43930,0,189510,0,630600,0,1074440,0,1489510,0,1496380,0,1529100,0,1461250,0,1329760,0,1114720,0,957080,0,807740,0,1298890,0,963210,0,708390,0,473560,0,922770,0,348990,0,182480,0,A,Number of taxable returns,Nombre de déclarations imposables,1,Number of taxable returns
1,8745880,0,322130,0,2385500,0,1873690,0,1924220,0,1426680,0,447910,0,168020,0,80080,0,44000,0,25170,0,15420,0,9550,0,6050,0,7120,0,3330,0,1740,0,1110,0,2480,0,1200,0,480,0,A,Number of non-taxable returns,Nombre de déclarations non imposables,2,Number of non-taxable returns
2,25768930,0,322880,0,2429430,0,2063200,0,2554810,0,2501120,0,1937420,0,1664400,0,1609180,0,1505260,0,1354920,0,1130140,0,966630,0,813790,0,1306010,0,966540,0,710130,0,474670,0,925250,0,350200,0,182960,0,A,Total number of returns,Nombre total de déclarations,3,Total number of returns
3,16987640,665992470,13850,139516,1486870,2066963,1098620,6694556,1154790,11025350,1132210,15295189,1121010,19788781,1109340,24468076,1134010,30651075,1117660,35744431,1021770,37260130,896990,37052823,788260,36314382,676020,34212021,1100400,63146476,846390,56642649,633000,48286969,424520,35799548,808000,81494598,286020,40324281,137930,49584659,B,Employment income,Revenus d'emploi,4,Employment income
4,463590,11599032,280,4387,10720,5256,22360,19378,28230,44020,28890,73391,29150,111509,28750,148063,28430,195095,28100,240373,26700,285993,23990,314139,21500,340353,19620,357169,32610,726821,25280,682348,19660,626221,15420,564881,41560,2077828,21580,1916034,10780,2865774,B,Commissions (from employment),Commissions (d'emploi),5,Commissions (from employment)
5,2341440,10944075,2380,9935,72650,115167,98430,320006,108130,380203,104780,370132,122670,436582,139050,471812,156420,504153,164030,489998,159670,466323,143040,426912,127070,381593,113510,332254,198410,601817,155780,487203,112140,393301,80630,315482,175380,1034798,71530,905135,35750,2501269,B,Other employment income,Autres revenus d'emploi,6,Other employment income
6,4441190,25462625,3010,17004,69010,52386,149430,695880,567510,2839888,1001810,5845872,576630,3483832,383990,2331473,339240,2068806,270400,1650511,232450,1420410,159980,976453,122430,746762,97660,594833,152300,926696,85950,519718,53620,321046,34070,201174,75200,427972,38620,205298,27860,136612,B,Old Age Security pension,Pension de la sécurité de la vieillesse,7,Old Age Security pension
7,5942900,37713426,7180,32801,130610,231340,313890,1166780,685130,2848531,1097290,6089130,703100,4892814,508990,3700365,461410,3409110,388250,2888990,341540,2527107,248210,1868177,193340,1467430,154610,1170914,231860,1753357,135170,1022560,84760,641987,54470,412259,115220,883546,53310,419711,34550,286518,B,CPP or QPP benefits,Prestations du RPC ou du RRQ,8,CPP or QPP benefits
8,3687260,67750972,1510,16402,17310,32558,44010,118070,127100,388565,400110,1404500,485270,3075937,387640,4007918,373660,5155289,328850,5808313,300650,6285641,223620,5657529,176430,5007902,142820,4386617,215600,7059749,128960,4615248,82410,3089371,54270,2099355,118560,4907319,52550,2562239,25940,2072451,B,Other pensions or superannuation,Autres pensions et pensions de retraite,9,Other pensions or superannuation
9,1008360,10225654,700,5007,11240,25330,30800,128903,87440,539618,147870,1036170,125730,1072394,93690,1031756,106810,1262340,87700,1123997,98510,1253238,42050,513535,26790,321528,22470,287797,45210,646364,26210,355970,17930,231938,9760,97021,18090,214230,6170,56816,3210,21704,B,Elected split-pension amount,Choix du montant de pension fractionné,10,Elected split-pension amount
10,1688420,2518165,9450,14138,372000,589020,166890,253573,185760,274858,151060,223367,129000,186750,116000,166807,105180,150750,91310,131104,74590,107578,59720,86537,48020,69763,37400,54059,52450,76402,33390,48985,21940,32288,11490,17103,16830,25576,4650,7382,1300,2126,B,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants (PUGE),11,Universal Child Care Benefit
11,3001210,20133198,2290,14117,42810,94657,128330,543719,265750,1494602,345860,2360299,364170,2828612,357380,2901991,322010,2473513,269440,1927323,213840,1443986,163580,1059513,124120,780235,94190,563700,128550,722702,76210,400826,40850,210651,22580,113991,31220,154967,6750,35365,1310,8429,B,Employment Insurance benefits,Prestations d'assurance-emploi et autres prestations,12,Employment Insurance benefits
12,3943840,46484535,7550,21280,94910,45648,93250,81806,154480,159629,223250,285725,231870,401749,220280,539831,238000,700140,246020,928739,253570,1128641,219560,1124263,199970,1233114,178690,1119344,313780,2361045,248550,2126335,197400,1894084,148090,1585324,361660,5974364,186440,5756530,126530,19016943,B,Taxable amount of dividends,Montant imposable des dividendes,13,Taxable amount of dividends
13,7438660,18657773,19330,34186,358660,218607,316650,332665,477780,559353,688260,972816,598610,1087125,503690,999930,497890,1033164,474610,1000177,451150,1002113,374600,816713,327680,718605,283330,647906,475650,1172782,359470,888768,274040,704825,193500,546244,427300,1610411,200540,1277401,135920,3033983,B,Interest and other investment income,Intérêts et autres revenus de placements,14,Interest and other investment income
14,205330,191495,4600,-50019,2630,-561,2450,178,3120,-1033,4540,472,5780,511,6120,1695,6890,1466,7500,2005,8780,4035,7980,2266,7640,1972,7360,3273,14640,7545,12610,8026,10900,6937,9100,5787,29240,24188,23940,37774,29520,134977,B,Net partnership income,Revenus nets de société de personnes,15,Net partnership income
15,80,364,0,0,10,0,10,0,20,7,10,7,10,29,10,40,0,0,10,9,10,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,RDSP income,Revenus d'un régime enregistré d'épargne-invalidité (REEI),16,RDSP income
16,1332670,3950780,15450,-162398,39420,12132,51600,83211,72980,136041,90220,170124,91230,191533,84430,169701,85350,173794,84920,163033,81230,166125,72070,147815,64030,135438,56900,126073,96590,230981,75220,189767,59050,161504,42760,140086,95910,439866,44630,385718,28690,890234,B,Net rental income,Revenus nets de location,17,Net rental income
17,1205440,12580594,3530,31647,31200,25962,33350,57605,46730,89272,62430,110781,65920,134261,62240,148394,66200,167292,67130,188552,70340,205880,61560,209705,56220,210923,51270,213341,92340,459105,74580,419440,60390,402948,46790,368200,122370,1393814,72100,1678964,58760,6064508,B,Taxable capital gains,Gains en capital imposables,18,Taxable capital gains
18,105880,1061221,230,1185,5330,6675,8170,26590,11570,52308,12600,70633,11410,82037,9190,75264,8240,72569,7240,70562,5850,60727,4980,56748,3960,51317,3110,43456,4600,76418,2980,57460,1940,41720,1290,36122,2330,100087,650,49477,230,29867,B,Support payments received,Pension alimentaire reçue,19,Support payments received
19,2339120,11512284,7160,26487,71930,82952,75610,187915,113610,338679,147640,466140,166110,586226,167340,630045,180150,710049,184430,745518,177200,757075,153950,663587,134180,604898,116700,559531,185580,970868,134110,734550,95960,565723,63550,437636,115700,1149460,35820,664392,12400,630554,B,Registered Retirement Savings Plan income,Revenu d'un REER,20,Registered Retirement Savings Plan income
20,4399040,21130689,10800,23884,209250,236700,257540,609217,293660,769690,306490,735149,294210,710863,272730,696398,278930,729227,274290,759325,266370,767011,223360,672948,194670,616703,170100,569602,289680,1058040,224420,931344,171890,822119,125170,732239,290410,2709389,147110,2700441,97970,4280400,B,Other income,Autres revenus,21,Other income
