,Grand total/Total global #,Grand total/Total global $,Loss and nil/Perte et néant #,Loss and nil/Perte et néant $,1 - 4999 #,1 - 4999 $,5000 - 9999 #,5000 - 9999 $,10000 - 14999 #,10000 - 14999 $,15000 - 19999 #,15000 - 19999 $,20000 - 24999 #,20000 - 24999 $,25000 - 29999 #,25000 - 29999 $,30000 - 34999 #,30000 - 34999 $,35000 - 39999 #,35000 - 39999 $,40000 - 44999 #,40000 - 44999 $,45000 - 49999 #,45000 - 49999 $,50000 - 54999 #,50000 - 54999 $,55000 - 59999 #,55000 - 59999 $,60000 - 69999 #,60000 - 69999 $,70000 - 79999 #,70000 - 79999 $,80000 - 89999 #,80000 - 89999 $,90000 - 99999 #,90000 - 99999 $,100000 - 149999 #,100000 - 149999 $,150000 - 249999 #,150000 - 249999 $,250000 and over/et plus #,250000 and over/et plus $,50000 and over/et plus #,50000 and over/et plus $,Item
0,17166850,0,600,0,42460,0,190550,0,606270,0,1033480,0,1471530,0,1471950,0,1509020,0,1451660,0,1342350,0,1126670,0,965370,0,826030,0,1331490,0,997390,0,731890,0,512790,0,991840,0,370400,0,193130,0,6920310,0,Number of taxable returns
1,8856280,0,320560,0,2379070,0,1853590,0,1975080,0,1481370,0,468140,0,177140,0,83130,0,43760,0,25140,0,15670,0,9910,0,6180,0,7420,0,3360,0,1680,0,1070,0,2340,0,1200,0,440,0,33620,0,Number of non-taxable returns
2,26023120,0,321170,0,2421520,0,2044140,0,2581350,0,2514850,0,1939670,0,1649090,0,1592150,0,1495420,0,1367490,0,1142340,0,975280,0,832210,0,1338910,0,1000750,0,733570,0,513860,0,994180,0,371600,0,193570,0,6953930,0,Total number of returns
3,17037040,685090775,12150,115032,1482190,1974470,1057580,6467282,1147060,11026293,1119680,15247250,1117010,19972851,1088890,24232258,1108710,30117857,1097730,35246180,1018870,37200829,897520,37146238,786920,36236998,687180,34815790,1118710,64221138,870840,58326466,649670,49528866,459300,38942378,868100,88465324,303020,43407205,145910,52400069,5889660,466344235,Employment income
4,482520,12683167,280,2318,10330,5079,22020,19299,29400,45369,30840,76502,31390,114442,30560,155608,29420,195477,28530,241228,27140,285263,24760,318126,22300,345198,19770,354923,33580,725786,25940,687800,20170,639901,16020,582546,44060,2208934,23490,2152616,12530,3526753,217850,11224457,Commissions (from employment)
5,2272330,10285124,1930,13784,63640,101821,87210,292031,99020,366534,99810,367790,118060,428869,134580,482670,153930,524789,159710,500087,158540,477596,139610,430123,124750,384071,111720,336324,193920,578967,153580,464156,110510,377709,79180,300340,176300,985804,70440,804648,35910,2067010,1056300,6299030,Other employment income
6,4571780,26248206,2720,15179,73200,53588,155220,722301,583020,2921652,1022390,5974991,573130,3470857,385520,2347662,343630,2102554,277170,1697044,243390,1491672,168080,1029101,128630,786589,102990,629481,164370,1003328,94070,570383,59020,354478,37680,222766,83330,474767,43110,229091,31120,150723,744310,4421606,Old Age Security pension
7,6127090,39013549,6620,30352,133390,236476,320690,1186006,703760,2916097,1119290,6243911,702270,4882589,512810,3723453,470030,3467096,398850,2971264,359280,2659912,261020,1969924,204260,1552756,163820,1244668,250320,1902132,147200,1120247,93430,710772,59980,457100,124990,968121,57340,457569,37730,313104,1139070,8726469,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits
8,3780100,70892128,1320,13870,17650,32643,44340,119618,129910,394300,410420,1446981,482900,3105546,386910,4051744,376380,5252909,333650,5935504,312660,6587674,232520,5925952,184680,5288821,149400,4619571,229640,7584630,138750,5011328,89080,3385449,57670,2282052,122850,5224655,51410,2558621,27960,2070261,1051440,38025387,Other pensions or superannuation
9,1069990,10892280,640,4650,11200,24818,30690,127055,85020,520914,149290,1075019,132460,1128721,97650,1062736,113320,1329430,95020,1202761,108430,1361861,46850,570158,29610,353675,25380,318070,51570,726780,29910,397580,20700,263996,11440,112228,20170,224046,7090,62592,3550,25190,199420,2484156,Elected split-pension amount
