,#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
0,1,Number of taxable returns,Nombre de déclarations imposables,2012,16944170,,32160.0,,157690.0,,461550.0,,855100.0,,1329180.0,,1358770.0,,1416180.0,,1397090.0,,1332050.0,,1129100.0,,978330.0,,847420.0,,1384500.0,,1059460.0,,785040.0,,595070.0,,1168450.0,,442070.0,,214950.0,
1,2,Number of non-taxable returns,Nombre de déclarations non imposables,2012,8509040,,2448110.0,,1630310.0,,1781050.0,,1626230.0,,585250.0,,204970.0,,96130.0,,51070.0,,29390.0,,17920.0,,12210.0,,7290.0,,8720.0,,3620.0,,1920.0,,1120.0,,2250.0,,1090.0,,410.0,
2,3,Total number of returns,Nombre total de déclarations,2012,25453210,,2480270.0,,1788000.0,,2242600.0,,2481330.0,,1914430.0,,1563740.0,,1512310.0,,1448150.0,,1361440.0,,1147030.0,,990550.0,,854710.0,,1393220.0,,1063090.0,,786950.0,,596190.0,,1170700.0,,443160.0,,215350.0,
3,4,Employment income,Revenus d'emploi,2012,16743200,717787013.0,1443690.0,1860051.0,947700.0,5878135.0,1040020.0,10200893.0,1015210.0,13983645.0,1027500.0,18639180.0,1007390.0,22675815.0,1029650.0,28023734.0,1039270.0,33363795.0,988090.0,36037038.0,883520.0,36444201.0,785030.0,36065088.0,693590.0,35021435.0,1146040.0,65509303.0,911270.0,60849407.0,689750.0,52334102.0,533300.0,45453226.0,1028950.0,105759614.0,368340.0,53630803.0,164890.0,56057549.0
4,5,Commissions (from employment),Commissions (d'emploi),2012,496550,13041635.0,9410.0,7909.0,20040.0,17908.0,28110.0,41844.0,30370.0,72829.0,31170.0,107620.0,31350.0,148533.0,30840.0,187041.0,29940.0,231874.0,28320.0,269905.0,25400.0,297642.0,22800.0,325276.0,20460.0,335754.0,34810.0,698982.0,27080.0,681980.0,21330.0,645391.0,17060.0,610347.0,47760.0,2331962.0,26470.0,2336964.0,13840.0,3691874.0
5,6,Other employment income,Autres revenus d'emploi,2012,2198080,9226992.0,53610.0,87766.0,70330.0,232493.0,85410.0,325275.0,88090.0,338263.0,105430.0,387977.0,118760.0,436260.0,137870.0,467253.0,149040.0,472373.0,150750.0,474177.0,133840.0,412582.0,119960.0,361861.0,108070.0,314340.0,190010.0,541723.0,157960.0,445158.0,119930.0,359592.0,89060.0,294296.0,202630.0,918579.0,80170.0,775825.0,37170.0,1581202.0
6,7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012,5180620,29916678.0,83970.0,69305.0,150280.0,637964.0,472630.0,2342188.0,1136950.0,6646453.0,697630.0,4320576.0,429380.0,2644354.0,385860.0,2376477.0,326770.0,2005634.0,297210.0,1818715.0,211740.0,1285989.0,164170.0,991005.0,133330.0,802829.0,213020.0,1284650.0,130590.0,780975.0,81200.0,480046.0,53080.0,308052.0,114340.0,633930.0,58010.0,298071.0,40470.0,189466.0
7,8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012,6420070,42851725.0,120120.0,235157.0,273470.0,1037638.0,604400.0,2688928.0,1144080.0,5952348.0,795000.0,5722324.0,526270.0,3937727.0,483680.0,3686873.0,424510.0,3280377.0,396560.0,3051961.0,293470.0,2302884.0,231710.0,1838198.0,189860.0,1512296.0,294270.0,2352816.0,183310.0,1474086.0,116090.0,936224.0,75230.0,607036.0,154970.0,1267943.0,69180.0,583398.0,43910.0,383510.0
8,9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012,3918610,77407028.0,16970.0,45679.0,36090.0,103439.0,109980.0,327339.0,348080.0,1156593.0,515260.0,3007743.0,389050.0,3908414.0,378140.0,5149024.0,345180.0,6004305.0,333950.0,6940212.0,251040.0,6328534.0,200670.0,5772772.0,165190.0,5190636.0,257400.0,8718000.0,162370.0,6052257.0,103930.0,4111999.0,68240.0,2792091.0,143220.0,6245143.0,61250.0,3091572.0,32600.0,2461275.0
9,10,Elected split-pension amount,Choix du montant de pension fractionné,2012,1133990,11868518.0,10590.0,27017.0,25760.0,104487.0,72460.0,409645.0,144370.0,1041361.0,141860.0,1167550.0,98460.0,1047707.0,118990.0,1409274.0,102490.0,1306544.0,124020.0,1641058.0,57670.0,707632.0,34190.0,407944.0,29120.0,365456.0,58180.0,815856.0,37080.0,504679.0,24520.0,333749.0,15270.0,166878.0,25240.0,278389.0,9340.0,92000.0,4400.0,41294.0
