,$35k - 40k,$5k - 10k,$30k - 35k,$25k - 30k,$1 - 10k,$20k - 25k,$10k - 15k,$50k - 60k,$40k - 45k,tax_year,type,$45k - 50k,$150k - 250k,$80k - 90k,$15k - 20k,$90k - 100k,< $5k,item_category,> $250k,$60k - 70k,$70k - 80k,item,< $0,$100k - 150k
0,1479760.0,,1515130.0,1425880.0,220970.0,1471790.0,739950.0,1703350.0,1268180.0,2008,#,1079010.0,338030.0,692230.0,1271730.0,452510.0,,number items,187660.0,1267540.0,943150.0,number of taxable returns,1040.0,887140.0
1,36180.0,,64410.0,121400.0,3590770.0,348840.0,1857050.0,16690.0,23690.0,2008,#,11470.0,590.0,1100.0,1171910.0,450.0,,number items,370.0,4270.0,4320.0,number of non-taxable returns,763890.0,2650.0
2,1515940.0,,1579550.0,1547270.0,3811740.0,1820630.0,2597000.0,1720040.0,1291870.0,2008,#,1090480.0,338620.0,693330.0,2443640.0,452950.0,,number items,188030.0,1271810.0,947470.0,total number of returns,764930.0,889780.0
3,1101410.0,,1115720.0,1065660.0,2005180.0,1095170.0,1176620.0,1426040.0,1016750.0,2008,#,865920.0,273580.0,615050.0,1162060.0,402320.0,,income items,142200.0,1072020.0,823310.0,employment income,21900.0,775320.0
4,32770.0,,30610.0,30340.0,44450.0,31430.0,33220.0,39800.0,28710.0,2008,#,22710.0,22710.0,20960.0,35820.0,17070.0,,income items,12360.0,33380.0,28560.0,commissions (from employment),760.0,44710.0
5,159510.0,,163320.0,117560.0,143870.0,118140.0,108130.0,234730.0,155630.0,2008,#,137960.0,68930.0,115270.0,115110.0,83100.0,,income items,38010.0,197890.0,149410.0,other employment income,4270.0,175590.0
6,297050.0,,341960.0,339290.0,197630.0,518710.0,658530.0,216620.0,202040.0,2008,#,164280.0,36190.0,57010.0,954540.0,36230.0,,income items,25040.0,158690.0,92540.0,Old Age Security Pension,5870.0,74620.0
7,406110.0,,450310.0,445500.0,432450.0,620560.0,732700.0,317740.0,285910.0,2008,#,239970.0,49720.0,83840.0,1075440.0,52650.0,,income items,34300.0,225160.0,135730.0,CPP or QPP benefits,10220.0,109460.0
8,298900.0,,313430.0,273020.0,47670.0,327250.0,83140.0,277980.0,232380.0,2008,#,200690.0,37730.0,76230.0,285570.0,47770.0,,income items,18760.0,191890.0,119400.0,other pensions or superannuation,2690.0,95460.0
9,84980.0,,105250.0,114990.0,513820.0,126300.0,179720.0,74500.0,71140.0,2008,#,56580.0,3900.0,20590.0,139140.0,10920.0,,income items,1350.0,42370.0,30960.0,Universal Child Care Benefit,9740.0,14850.0
