Grand total/Total global #,Grand total/Total global $,Loss and nil/Perte et néant #,Loss and nil/Perte et néant $,1 - 4999 #,1 - 4999 $,item_e,item_f,prove,provf,code1,code2,taxyr
17166850,0,600,0,42460,0,Number of taxable returns,Nombre de déclarations imposables,,,A,1,2010
8856280,0,320560,0,2379070,0,Number of non-taxable returns,Nombre de déclarations non imposables,,,A,2,2010
26023120,0,321170,0,2421520,0,Total number of returns,Nombre total de déclarations,,,A,3,2010
17037040,685090775,12150,115032,1482190,1974470,Employment income,Revenus d'emploi,,,B,4,2010
482520,12683167,280,2318,10330,5079,Commissions (from employment),Commissions (d'emploi),,,B,5,2010
2272330,10285124,1930,13784,63640,101821,Other employment income,Autres revenus d'emploi,,,B,6,2010
4571780,26248206,2720,15179,73200,53588,Old Age Security pension,Pension de la sécurité de la vieillesse,,,B,7,2010
6127090,39013549,6620,30352,133390,236476,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),,,B,8,2010
3780100,70892128,1320,13870,17650,32643,Other pensions or superannuation,Autres pensions et pensions de retraite,,,B,9,2010
1069990,10892280,640,4650,11200,24818,Elected split-pension amount,Choix du montant de pension fractionné,,,B,10,2010
1661790,2491651,8860,13212,373410,591010,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),,,B,11,2010
2876980,19277992,2060,12249,41600,93396,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,,,B,12,2010
3934690,48524591,6760,22497,88660,43136,Taxable amount of dividends,Montant imposable des dividendes,,,B,13,2010
6581720,15505018,15940,28122,302730,169043,Interest and other investment income,Intérêts et autres revenus de placements,,,B,14,2010
201510,245962,4400,-28942,2830,340,Net partnership income,Revenus nets de société de personnes,,,B,15,2010
180,200,0,0,20,11,Registered disability savings plan (RDSP) income,Revenus dun régime enregistré dépargne-invalidité (REEI),,,B,16,2010
1379350,4206989,15440,-156787,40580,18506,Net rental income,Revenus nets de location,,,B,17,2010
1843400,17533649,4330,35965,48190,33004,Taxable capital gains,Gains en capital imposables,,,B,18,2010
88600,1070811,180,1017,3300,5748,Support payments received,Pension alimentaire reçue,,,B,19,2010
2341470,12616730,6440,24208,68290,80904,Registered Retirement Savings Plan (RRSP) income,Revenu d'un régime enregistré d'épargne-retraite (REER),,,B,20,2010
4280410,19104477,8880,21769,207000,246514,Other income,Autres revenus,,,B,21,2010
1998700,24705346,46740,-762634,125210,174604,Net business income,Revenus nets d'entreprise,,,B,22,2010
