#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000),50000 and over/et plus #,50000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2011, 17429010,0,39800,0,185610,0,559100,0,966160,0,1433050,0,1444480,0,1486360,0,1445000,0,1357270,0,1143040,0,989690,0,849000,0,1385860,0,1061130,0,778850,0,573360,0,1105540,0,413720,0,212010,0,7369160,0
2,Number of non-taxable returns,Nombre de déclarations non imposables,2011, 8904930,0,2689390,0,1785790,0,1933640,0,1561560,0,525350,0,190250,0,89750,0,47750,0,27430,0,17390,0,10930,0,6870,0,8150,0,3660,0,1870,0,1110,0,2430,0,1180,0,440,0,36630,0
3,Total number of returns,Nombre total de déclarations,2011, 26333940,0,2729190,0,1971390,0,2492740,0,2527720,0,1958400,0,1634730,0,1576110,0,1492750,0,1384700,0,1160440,0,1000620,0,855870,0,1394010,0,1064790,0,780730,0,574460,0,1107970,0,414890,0,212450,0,7405790,0
4,Employment income,Revenus d'emploi,2011, 17311520,719683834,1503610,2063034,1034160,6332301,1126820,10902138,1099500,15023195,1103620,19870091,1073320,24025550,1089420,29574115,1088160,34877358,1021770,37174433,905660,37331558,802280,36829328,701650,35401744,1158070,66282663,923520,61827121,689170,52414061,515340,43825914,971790,99494846,342050,49443773,161610,56990612,6265480,502510062
5,Commissions (from employment),Commissions (d'emploi),2011, 509970,13680666,10240,9627,22410,19825,30760,44314,32660,76075,33440,115022,32770,157018,31380,197493,30410,242304,28410,281365,25860,313520,23400,341902,20790,351624,34620,711132,27010,691136,21410,662620,17000,626535,47030,2344557,25920,2352136,14440,4142462,231630,12224104
6,Other employment income,Autres revenus d'emploi,2011, 2318870,10460170,62260,100492,80380,264855,94910,348211,97190,362362,115630,425389,131150,476275,150690,515126,159900,514897,160200,494127,142560,452409,126970,390481,114360,349757,199820,608888,164160,490289,119800,387030,88030,320357,195190,1022538,77660,853777,38020,2082911,1124010,6506028
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2011, 5057880,28545504,89500,78413,165780,703701,558900,2735346,1095800,6367082,648580,3925626,420440,2533473,378050,2278977,313300,1877701,281770,1683150,198070,1175184,153300,904722,123850,730101,197720,1167024,116370,679397,73260,422890,47590,269655,104640,568609,52980,268292,37980,176160,907700,5186850
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2011, 6312040,40931856,133160,252313,298780,1121330,654990,2815460,1152910,6143851,751250,5294038,522090,3831767,479760,3582658,412350,3118608,380180,2855453,277250,2129735,218670,1693007,176890,1373457,272950,2120313,164450,1282549,104340,814359,67130,524930,139930,1108337,63310,517085,41660,352607,1249320,9786644
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2011, 3881670,74888121,19000,49096,40190,111271,118700,359373,383520,1307516,503360,3080318,389840,4006003,380880,5256841,340730,6003784,326740,6840392,243870,6181592,195140,5599545,159160,4954150,246180,8223323,151170,5545369,97760,3785092,63560,2562447,134300,5808634,56620,2873213,30960,2340162,1134850,41691935
10,Elected split-pension amount,Choix du montant de pension fractionné,2011, 1111300,11468738,11110,28177,27580,113131,80340,479619,147930,1060409,138230,1160485,98400,1065844,117300,1382777,98940,1254531,118600,1516922,51720,629356,32290,384763,27510,346170,56080,791335,33150,446501,22980,302975,13700,139142,23190,260057,8190,76764,4050,29780,221140,2777486
