F1,F2,F3,F4,F5,F6,CODE1,CODE2,prove,provf,taxyr,f7
770,0,479800,0,1191780,0,A,1,,,2004,1
960320,0,3966970,0,1573900,0,A,2,,,2004,1
961090,0,4446770,0,2765680,0,A,3,,,2004,1
14840,111884,2301890,10370804,1279230,12661523,B,4,,,2004,1
390,7389,49920,29040,32220,42565,B,5,,,2004,1
3290,15158,237090,636648,132790,503963,B,6,,,2004,1
3470,16686,345110,1459830,912230,4488553,B,7,,,2004,1
6950,28925,586860,1893769,949530,3905483,B,8,,,2004,1
870,7797,71020,196986,150320,507548,B,9,,,2004,1
2360,9460,245550,846880,325840,1515804,B,10,,,2004,1
8990,9128,240090,103065,196810,146949,B,11,,,2004,1
18790,35088,854960,692688,635410,794073,B,12,,,2004,1
620,3490,51200,90683,125300,277183,B,13,,,2004,1
14230,-102752,113200,130030,82190,137274,B,14,,,2004,1
7420,26963,176200,153159,118510,138727,B,15,,,2004,1
4890,15765,145120,331909,104150,329131,B,16,,,2004,1
55190,-715717,371950,1301675,219570,1576262,B,17,,,2004,1
3890,-28543,36660,130453,21940,149410,B,18,,,2004,1
2440,-9036,25570,67977,13200,68373,B,19,,,2004,1
15750,-354368,67500,-14560,48310,38681,B,20,,,2004,1
640,-7193,2940,-948,4440,11743,B,21,,,2004,1
2560,11662,968840,4935840,1061780,6483642,B,22,,,2004,1
13480,-30371,522990,995628,306050,878006,B,23,,,2004,1
83930,-948586,4446770,24354154,2765680,34655240,B,24,,,2004,1
4660,6841,65700,18168,74560,31551,C,25,,,2004,1
4420,11413,89760,197514,164300,332530,C,26,,,2004,1
7590,2600,361140,43487,258300,45039,C,27,,,2004,1
780,1102,100280,131406,94120,183542,C,28,,,2004,1
4590,19171,88580,48912,112770,49584,C,29,,,2004,1
1010,423,239030,42396,195820,70324,C,30,,,2004,1
1230,4218,13800,14539,22670,44978,C,31,,,2004,1
0,0,80,110,260,1436,C,32,,,2004,1
8140,12868,105630,110200,99870,102840,C,33,,,2004,1
28020,58733,902130,608026,781690,863181,C,34,,,2004,1
0,0,210,152,110,82,C,35,,,2004,1
0,0,4418690,23881749,2761960,33899693,C,36,,,2004,1
50,27,1310,1339,3440,8979,C,37,,,2004,1
860,4944,15840,23756,25980,40988,C,38,,,2004,1
3110,30753,988620,4979965,1086080,6610536,C,39,,,2004,1
4010,35724,1005310,5007661,1112460,6660849,C,40,,,2004,1
0,0,3925950,18898860,2616040,27253978,C,41,,,2004,1
951790,7389237,4438150,35099220,2763860,22062678,D,42,,,2004,1
33400,128502,391890,1519689,924550,3612771,D,43,,,2004,1
74840,461085,354130,1995203,311210,1756888,D,44,,,2004,1
21420,13202,1903150,309137,1341600,508786,D,45,,,2004,1
32520,11411,1649420,186736,1151350,237755,D,46,,,2004,1
1390,1343,95190,78406,237420,207979,D,47,,,2004,1
580,2715,6380,20753,8110,29122,D,48,,,2004,1
5210,35923,69050,455127,73740,480388,D,49,,,2004,1
1140,3984,163780,149420,368500,1087246,D,50,,,2004,1
3160,3758,23400,10990,49000,22017,D,51,,,2004,1
12100,40653,52540,168010,108140,350692,D,52,,,2004,1
16460,14950,207220,202903,353720,532673,D,53,,,2004,1
951980,1296286,4439820,6428279,2764250,4940483,D,54,,,2004,1
0,0,67120,17154,208960,87003,D,55,,,2004,1
50,93,0,0,90,47,E,56,,,2004,1
50,26,62920,4079,201370,21919,E,57,,,2004,1
951980,1296312,4439860,6432358,2764310,4962402,E,58,,,2004,1
20,443,317500,46354,1151640,527797,E,59,,,2004,1
8450,1212,205870,13594,178460,19478,F,60,,,2004,1
20,443,316930,45944,1150930,526898,F,61,,,2004,1
20,443,304900,45869,1128210,525842,F,62,,,2004,1
320,6432,83760,147716,455000,165486,F,63,,,2004,1
770,7743,479800,257138,1191780,796142,F,64,,,2004,1
1700200,0,1641960,0,1550620,0,A,1,,,2004,2
603860,0,125310,0,51010,0,A,2,,,2004,2
2304060,0,1767270,0,1601630,0,A,3,,,2004,2
1211100,17161767,1161680,21753459,1144090,26924234,B,4,,,2004,2
29160,87118,31260,150056,30020,166497,B,5,,,2004,2
121990,475343,134680,513175,142310,517456,B,6,,,2004,2
812050,4390858,427030,2301411,326070,1752139,B,7,,,2004,2
914590,5556563,526750,3546684,415240,2927675,B,8,,,2004,2
380040,1710290,343260,2611350,305670,3409381,B,9,,,2004,2
358650,1997680,323690,1959908,284470,1777162,B,10,,,2004,2
226810,233780,206250,302181,218350,417974,B,11,,,2004,2
704420,1138351,540820,1035636,489650,1009056,B,12,,,2004,2
230730,632790,198980,860817,177040,972830,B,13,,,2004,2
101940,170751,95550,155934,88900,163310,B,14,,,2004,2
127770,196367,123190,233783,125850,268673,B,15,,,2004,2
119790,442670,120150,453824,130570,520741,B,16,,,2004,2
185150,1657703,144530,1485127,116830,1271022,B,17,,,2004,2
20560,190804,19050,203270,17530,219034,B,18,,,2004,2
10230,78172,12100,108932,8830,106339,B,19,,,2004,2
38340,59446,31240,88771,26900,92289,B,20,,,2004,2
4560,22415,4470,27900,3720,37590,B,21,,,2004,2
725340,2946478,200840,1042845,121760,750944,B,22,,,2004,2
267870,792732,242200,796108,224680,723071,B,23,,,2004,2
2304060,39942622,1767270,39631812,1601630,44027416,B,24,,,2004,2
121240,66876,179290,127840,258710,246700,C,25,,,2004,2
254620,451668,336910,688549,409790,909312,C,26,,,2004,2
280880,63304,328290,91095,384850,132745,C,27,,,2004,2
110790,246042,116160,298023,116680,328044,C,28,,,2004,2
