F1,F2,F3,F4,F5,F6,CODE1,ITEME,ITEMF,CODE2,prove,provf,taxyr,f7
1250,0,354080,0,1075140,0,A,Number of taxable returns,Nombre de déclarations imposables,1,,,2005,1
947870,0,3898190,0,1690160,0,A,Number of non-taxable returns,Nombre de déclarations non imposables,2,,,2005,1
949120,0,4252270,0,2765300,0,A,Total number of returns,Nombre total de déclarations,3,,,2005,1
13830,111609,2256910,10246032,1261590,12482256,B,Employment income,Revenus d'emploi,4,,,2005,1
270,222,51170,49747,32420,53205,B,Commissions (from employment),Commissions (d'emploi),5,,,2005,1
3080,17121,211490,609969,121630,453817,B,Other employment income,Autres revenus d'emploi,6,,,2005,1
3270,16815,313430,1388573,892100,4386066,B,Old Age Security pension,Pension de sécurité de la vieillesse,7,,,2005,1
6810,29987,567680,1763858,928910,3722343,B,CPP or QPP benefits,Prestations du RPC ou du RRQ,8,,,2005,1
660,4596,70510,180788,138360,454626,B,Other pensions or superannuation,Autres pensions et pensions de retraite,9,,,2005,1
2020,9574,221930,772822,310980,1538982,B,Employment Insurance benefits,Prestations d'assurance-emploi,10,,,2005,1
8400,6259,230050,110091,182080,129356,B,Taxable amount of dividends,Montant imposable des dividendes,11,,,2005,1
19410,26854,832160,659834,626100,715219,B,interest &amp; other invest. income,Revenus de placements,12,,,2005,1
620,2869,51480,95616,123650,268774,B,Annuity income,Revenus de rentes,13,,,2005,1
14980,-109584,100170,94908,75260,132135,B,Net rental income,Revenus nets de location,14,,,2005,1
7790,105661,186340,152481,127470,156785,B,Taxable capital gains,Gains en capital imposables,15,,,2005,1
5520,19037,144490,299121,105730,337200,B,RRSP income,Revenu d'un REER,16,,,2005,1
55470,-711833,358140,1246003,225220,1612083,B,Net business income,Revenus nets d'entreprise,17,,,2005,1
4220,-51661,36140,139531,24000,170402,B,Net professional income,Revenus nets de profession libéral,18,,,2005,1
2990,-20076,22140,52495,15210,76299,B,Net commission income,Revenus nets de commissions,19,,,2005,1
14000,-295230,54330,18008,44130,112950,B,Net farming income,Revenus nets d'agriculture,20,,,2005,1
570,-9196,3000,-1125,4460,12694,B,Net fishing income,Revenus nets de pêche,21,,,2005,1
3150,9544,870600,4363048,1077690,6962082,B,Tax-exempt income,Revenus non imposables,22,,,2005,1
14440,-54856,522330,948143,311140,821234,B,Other income,Autres revenus,23,,,2005,1
85280,-892286,4252270,23190444,2765300,34598508,B,Total income assessed,Revenu total établi,24,,,2005,1
7170,9533,68640,21790,74540,35312,C,RPP deduction,Déductions à un RPA,25,,,2005,1
4870,4248,74020,99812,152700,212597,C,RRSP contributions,Déductions à un REER,26,,,2005,1
7490,1845,352580,40510,259030,45318,C,"Annual union, professional, or like dues","Cot. annuelles syndicales, prof., et semblables",27,,,2005,1
1170,2645,96680,115604,90760,170129,C,Child care expenses,Frais de garde d'enfants,28,,,2005,1
4810,9276,76970,41309,105250,38129,C,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,29,,,2005,1
420,211,229580,36853,211170,73586,C,CPP/QPP contrib. on self-empl./other earning,Cotisations au RPC ou au RRQ,30,,,2005,1
1040,1795,11070,18999,17680,30861,C,Other employment expenses,Autres dépenses d'emploi,31,,,2005,1
0,0,0,0,560,2145,C,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,32,,,2005,1
6040,9495,112860,117940,93350,105111,C,Other deductions (from total income),Autres déductions (du revenu total),33,,,2005,1
28100,39048,859320,485476,767920,707614,C,Total deduction before adjustment,Total des déductions avant ajustement,34,,,2005,1
0,0,2550,7370,1300,6176,C,Social benefits repayment,Remb. des prestations de progr. Sociaux,35,,,2005,1
0,0,4223740,22744938,2761520,33893893,C,Net income after adjustment,Revenu net après ajustements,36,,,2005,1
160,6610,1270,7460,1780,4395,C,Capital gains deduction,Déduction pour gains en capital,37,,,2005,1
750,3427,15000,16899,24950,39920,C,Losses from other years,Pertes d'autres années,38,,,2005,1
3240,9703,889400,4406054,1097550,7089221,C,Additional deductions (from net income),Déductions supplémentaires (du revenu net),39,,,2005,1
4140,19740,903890,4430913,1122950,7133537,C,Total deductions (from net income),Total des déductions (du revenu net),40,,,2005,1
0,0,3789220,18336493,2588070,26774497,C,Taxable income assessed,Revenu imposable établi,41,,,2005,1
937420,7870471,4244620,36208857,2763230,23799433,D,Basic personal amount,Montant personnel de base,42,,,2005,1
30020,115926,359460,1420171,905750,3603073,D,Age amount,Montant en raison de l'âge,43,,,2005,1
70750,484580,336430,2058650,309310,1879113,D,Spouse &amp; elig. depend. &amp; adoption amt.,"Montant pour conjoint, &amp; pers. à charge, et frais d'adoption",44,,,2005,1
21260,14336,1832100,339034,1331820,579020,D,CPP or QPP contributions,Cotisations au RPC ou au RRQ,45,,,2005,1
35940,14309,1645800,182722,1137500,231348,D,Employment Insurance premiums,Cotisations à l'assurance-emploi,46,,,2005,1
1210,1159,97710,80573,228070,201421,D,Pension income amount,Montant pour revenu de pension,47,,,2005,1
850,3160,6900,24859,5760,21984,D,Caregiver amount,Montant pour aidants naturels,48,,,2005,1
6480,42835,66230,450698,74640,489170,D,Disability amount,Montant pour personnes handicapées,49,,,2005,1
510,607,101150,64148,383430,985212,D,Tuition and education amounts,Frais de scolarité et montant relatif aux études,50,,,2005,1
1750,2342,17790,4538,43170,19958,D,Interest paid on student loans,Intérêts payés sur vos prêts étudiants,51,,,2005,1
12500,43446,53440,176343,105700,360220,D,Amounts transferred from spouse,Montants transférés du conjoint,52,,,2005,1
14720,14578,185090,171380,330300,507771,D,Allowable amt. of med. expenses,Montant admissible des frais médicaux,53,,,2005,1
937820,1290699,4246330,6170690,2763880,4889329,D,Total tax credits,Total des crédits d'impôt,54,,,2005,1
0,0,55390,14927,180720,74683,E,Charitable donations &amp; gov. gifts,Dons de bienfaisance et dons aux gouvernements,55,,,2005,1
