F1,F2,F3,F4,F5,F6,ITEME,ITEMF,CODE1,CODE2,prove,provf,taxyr,f7
1040,0,220970,0,739950,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,1
763890,0,3590770,0,1857050,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,1
764930,0,3811740,0,2597000,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,1
21900,289684,2005180,9263846,1176620,11637912,Employment Income,Revenus d'emploi,B,4,,,2008,1
760,7676,44450,27739,33220,50171,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,1
4270,108590,143870,394547,108130,376774,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,1
5870,31904,197630,812883,658530,3151806,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,1
10220,51451,432450,1345384,732700,2929117,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,1
2690,48374,47670,134531,83140,310143,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,1
9740,15421,513820,806632,179720,265023,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,1
3130,14135,158290,580770,226730,1154369,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,1
8790,23769,199050,127852,171840,153895,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,1
24500,50671,780750,731657,560790,811242,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,1
0,0,0,0,0,0,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,1
15210,-150219,93760,47418,66530,98599,Net Rental Income,Revenus nets de location,B,15,,,2008,1
3300,28174,88920,103747,73290,123549,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,1
7830,25610,127140,219526,101980,298174,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,1
55640,-1664542,337390,1002694,243200,1607243,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,1
6030,-79160,33320,41257,22370,105982,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,1
4880,-70027,24430,66186,17700,92951,Net Commission Income,Revenus nets de commissions,B,20,,,2008,1
15350,-345511,46120,-89179,31650,33337,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,1
330,-4568,3920,-11282,4830,-7130,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,1
2700,16505,639270,3052127,1079490,8074568,Tax Exempt Income,Revenus non imposables,B,23,,,2008,1
18560,-78450,476570,999020,355020,1200676,Other Income,Autres revenus,B,24,,,2008,1
89770,-1680514,3811740,19657354,2597000,32468401,Total Income Assessed,Revenu total établi,C,25,,,2008,1
1460,1894,62750,30250,66760,30827,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,1
5770,21758,65560,90020,98060,119235,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,1
150,1628,1470,2143,3240,3820,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,1
6760,1804,340580,45041,237750,43922,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,1
2130,3344,86270,94951,77170,150032,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,1
6870,18553,79710,63889,78970,72190,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,1
1690,1669,188230,30679,210530,68682,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,1
1040,4035,9750,16803,10920,22577,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,1
8060,9369,142020,96855,136950,120586,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,1
0,0,0,0,230,1462,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,1
28560,64055,789200,470632,680640,633333,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,1
0,0,3782730,19274242,2593690,31847198,Net Income,Revenu net,C,37,,,2008,1
0,0,810,733,2630,30615,Capital Gains Deduction,Déduction pour gains en capital,C,38,,,2008,1
1030,2257,6150,23652,11890,30182,Losses from Other Years,Pertes d'autres années,C,39,,,2008,1
3150,17185,651320,3083173,1095650,8192532,Additional Deductions (from Net Income),Déductions supplémentaires (du revenu net),C,40,,,2008,1
4090,19442,656930,3107557,1108760,8253328,Total Deductions from Net Income,Total des déductions (du revenu net),C,41,,,2008,1
0,0,3493150,16200244,2355640,23633960,Taxable Income Assessed,Revenu imposable établi,D,42,,,2008,1
34440,178771,236910,1221756,674150,3554777,Age Amount,Montant en raison de l'âge,D,43,,,2008,1
746150,7626138,3799370,39400839,2593760,27758905,Other Federal Non-Refundable Tax Credits,Autres crédits d’impôt non remboursables fédéraux,D,44,,,2008,1
19240,15999,1199720,204061,1161070,429577,CPP or QPP Contributions,Cotisations au RPC ou au RRQ,D,45,,,2008,1
35860,12382,1475330,145283,1041370,179519,Employment Insurance Premiums,Cotisations à l'assurance-emploi,D,46,,,2008,1
5430,573,402310,10646,311040,14798,Provincial Parental Insurance Plan,Cotisations au Régime provincial d'assurance parentale,D,47,,,2008,1
29370,21465,2059690,1951404,1204510,1190762,Canada Employment Amount,Montant canadien pour emploi,D,48,,,2008,1
12540,5313,156550,61486,127070,57845,Public Transit Passes Amount,Montant pour le coût des laissez-passer de transport en commun,D,49,,,2008,1
3960,1052,31170,11058,34850,13892,Children's Fitness Amount,Montant pour la condition physique des enfants,D,50,,,2008,1
4100,7786,96750,143323,190900,309943,Pension Income Amount,Montant pour revenu de pension,D,51,,,2008,1
6990,46551,65410,453532,114680,806810,Disability and Caregiver Amounts,Montants pour personnes handicapées et pour aidants naturels,D,52,,,2008,1
2070,5999,22620,62155,295030,476655,"Tuition, Education, Textbook amounts & Interest on student loans",Montants et intérêts relatifs aux études,D,53,,,2008,1
52170,229140,154830,599655,157990,737263,Amounts Transferred from Spouse,Montants transférés de votre époux ou conjoint de fait,D,54,,,2008,1
23390,26867,173760,181060,264880,353728,Allowable Portion of Medical Expenses,Montant admissible des frais médicaux,D,55,,,2008,1
746410,1226067,3802020,6664443,2594420,5381198,Total Tax Credits on Personal Amounts,Crédits d'impôt nets alloués,E,56,,,2008,1
0,0,36220,12709,103610,46457,Donations and Gifts,Dons,E,57,,,2008,1
0,0,33210,3222,99650,11674,Total Tax Credit on Donations,Crédits d’impôt pour les dons,E,58,,,2008,1
746410,1226067,3802160,6667666,2594440,5392872,Total Non-Refundable Tax Credits,Total des crédits d'impôt non remboursables fédéraux,F,59,,,2008,1
7710,3787,180210,23583,162050,27076,Federal Dividend Tax Credit,Crédit d'impôt fédéral pour dividendes,F,60,,,2008,1
0,0,46340,16398,600760,156123,Basic Federal Tax,Impôt fédéral de base,F,61,,,2008,1
0,0,46120,18330,569320,156887,Net Federal Tax,Impôt fédéral net,F,62,,,2008,1
1040,1871,160610,51418,166490,109414,CPP Contr. On Self Employment,Cot. au RPC pour le rev. d'un trav. indép.& pour d’autres rev.,F,63,,,2008,1
0,0,32690,4665,237800,45257,Net Provincial Tax or Territorial Tax,Impôt provincial ou territorial net,F,64,,,2008,1
1040,1871,220970,74413,739950,313020,Total Tax Payable,Total de l'impôt à payer,F,65,,,2008,1
1271730,0,1471790,0,1425880,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,2
1171910,0,348840,0,121400,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,2
2443640,0,1820630,0,1547270,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,2
1162060,16242277,1095170,20061076,1065660,24357725,Employment Income,Revenus d'emploi,B,4,,,2008,2
35820,76617,31430,137398,30340,139558,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,2
115110,436258,118140,410067,117560,446325,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,2
954540,5522172,518710,3011494,339290,1977430,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,2
1075440,6085328,620560,4176458,445500,3137666,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,2
285570,1104195,327250,2017023,273020,2488252,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,2
139140,200703,126300,182235,114990,164832,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,2
301030,1805725,289160,1932327,278830,1954301,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,2
230540,305275,231000,385664,207250,504542,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,2
852790,1747898,672000,2090918,571750,2092651,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,2
0,0,0,0,0,0,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,2
94210,137271,84810,162965,78600,97780,Net Rental Income,Revenus nets de location,B,15,,,2008,2
82990,111089,86760,133195,73570,184206,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,2
114430,385040,110680,438115,120950,440851,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,2
196730,1707556,149510,1603212,125920,1503321,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,2
19410,161950,15840,168946,13110,163973,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,2
16010,126061,16340,157066,12520,114209,Net Commission Income,Revenus nets de commissions,B,20,,,2008,2
34400,51389,26230,124955,22640,80130,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,2
3790,10665,3480,22299,4170,35242,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,2
932270,4762908,367360,1849797,154250,1002407,Tax Exempt Income,Revenus non imposables,B,23,,,2008,2
410200,1685368,350410,1668260,302000,1623011,Other Income,Autres revenus,B,24,,,2008,2
2443640,42665747,1820630,40733471,1547270,42508414,Total Income Assessed,Revenu total établi,C,25,,,2008,2
105530,63927,139260,104583,191400,190857,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,2
181540,291374,255470,480416,319410,665655,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,2
17380,36537,61080,185543,72850,308061,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,2
255280,56926,270900,77051,326120,111239,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,2
88500,184230,101820,259456,111570,319497,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,2
149800,139900,157230,119036,139780,108771,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,2
164920,82699,131880,86697,106360,83678,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,2
22230,53128,27140,72294,35880,102426,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,2
154540,96228,131250,157959,118190,179504,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,2
0,0,0,0,0,0,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,2
801310,1004954,868110,1543037,901950,2069692,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,2
2441660,41669929,1819850,39225347,1545740,40455786,Net Income,Revenu net,C,37,,,2008,2
1140,2788,2610,10119,1910,11811,Capital Gains Deduction,Déduction pour gains en capital,C,38,,,2008,2
14860,41506,16060,54655,12690,33008,Losses from Other Years,Pertes d'autres années,C,39,,,2008,2
948750,4939528,395890,1999138,185830,1146075,Additional Deductions (from Net Income),Déductions supplémentaires (du revenu net),C,40,,,2008,2
965360,5003435,411810,2063912,198570,1191581,Total Deductions from Net Income,Total des déductions (du revenu net),C,41,,,2008,2
2403630,36671496,1803610,37164506,1538930,39264994,Taxable Income Assessed,Revenu imposable établi,D,42,,,2008,2
962090,5074919,525950,2774111,342870,1808097,Age Amount,Montant en raison de l'âge,D,43,,,2008,2
2441410,26431817,1819340,20038302,1546400,17027868,Other Federal Non-Refundable Tax Credits,Autres crédits d’impôt non remboursables fédéraux,D,44,,,2008,2
1174010,679048,1109020,882608,1074470,1092541,CPP or QPP Contributions,Cotisations au RPC ou au RRQ,D,45,,,2008,2
1058530,251554,1007640,312155,994880,378179,Employment Insurance Premiums,Cotisations à l'assurance-emploi,D,46,,,2008,2
332430,21760,305620,26060,308010,32108,Provincial Parental Insurance Plan,Cotisations au Régime provincial d'assurance parentale,D,47,,,2008,2
1200710,1189320,1142190,1126215,1105160,1097118,Canada Employment Amount,Montant canadien pour emploi,D,48,,,2008,2
124760,73953,116430,76066,98400,68936,Public Transit Passes Amount,Montant pour le coût des laissez-passer de transport en commun,D,49,,,2008,2
