#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
1,Number of taxable returns,Nombre de déclarations imposables,2012, 16944170,,32160,,157690,,461550,,855100,,1329180,,1358770,,1416180,,1397090,,1332050,,1129100,,978330,,847420,,1384500,,1059460,,785040,,595070,,1168450,,442070,,214950,
2,Number of non-taxable returns,Nombre de déclarations non imposables,2012, 8509040,,2448110,,1630310,,1781050,,1626230,,585250,,204970,,96130,,51070,,29390,,17920,,12210,,7290,,8720,,3620,,1920,,1120,,2250,,1090,,410,
3,Total number of returns,Nombre total de déclarations,2012, 25453210,,2480270,,1788000,,2242600,,2481330,,1914430,,1563740,,1512310,,1448150,,1361440,,1147030,,990550,,854710,,1393220,,1063090,,786950,,596190,,1170700,,443160,,215350,
4,Employment income,Revenus d'emploi,2012, 16743200,717787013,1443690,1860051,947700,5878135,1040020,10200893,1015210,13983645,1027500,18639180,1007390,22675815,1029650,28023734,1039270,33363795,988090,36037038,883520,36444201,785030,36065088,693590,35021435,1146040,65509303,911270,60849407,689750,52334102,533300,45453226,1028950,105759614,368340,53630803,164890,56057549
5,Commissions (from employment),Commissions (d'emploi),2012, 496550,13041635,9410,7909,20040,17908,28110,41844,30370,72829,31170,107620,31350,148533,30840,187041,29940,231874,28320,269905,25400,297642,22800,325276,20460,335754,34810,698982,27080,681980,21330,645391,17060,610347,47760,2331962,26470,2336964,13840,3691874
6,Other employment income,Autres revenus d'emploi,2012, 2198080,9226992,53610,87766,70330,232493,85410,325275,88090,338263,105430,387977,118760,436260,137870,467253,149040,472373,150750,474177,133840,412582,119960,361861,108070,314340,190010,541723,157960,445158,119930,359592,89060,294296,202630,918579,80170,775825,37170,1581202
7,Old Age Security pension (OASP),Pension de la sécurité de la vieillesse,2012, 5180620,29916678,83970,69305,150280,637964,472630,2342188,1136950,6646453,697630,4320576,429380,2644354,385860,2376477,326770,2005634,297210,1818715,211740,1285989,164170,991005,133330,802829,213020,1284650,130590,780975,81200,480046,53080,308052,114340,633930,58010,298071,40470,189466
8,CPP or QPP benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),2012, 6420070,42851725,120120,235157,273470,1037638,604400,2688928,1144080,5952348,795000,5722324,526270,3937727,483680,3686873,424510,3280377,396560,3051961,293470,2302884,231710,1838198,189860,1512296,294270,2352816,183310,1474086,116090,936224,75230,607036,154970,1267943,69180,583398,43910,383510
9,Other pensions or superannuation,Autres pensions et pensions de retraite,2012, 3918610,77407028,16970,45679,36090,103439,109980,327339,348080,1156593,515260,3007743,389050,3908414,378140,5149024,345180,6004305,333950,6940212,251040,6328534,200670,5772772,165190,5190636,257400,8718000,162370,6052257,103930,4111999,68240,2792091,143220,6245143,61250,3091572,32600,2461275
10,Elected split-pension amount,Choix du montant de pension fractionné,2012, 1133990,11868518,10590,27017,25760,104487,72460,409645,144370,1041361,141860,1167550,98460,1047707,118990,1409274,102490,1306544,124020,1641058,57670,707632,34190,407944,29120,365456,58180,815856,37080,504679,24520,333749,15270,166878,25240,278389,9340,92000,4400,41294
