,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
0,Number of taxable returns,#,2012,16944170.0,32160.0,157690.0,461550.0,855100.0,1329180.0,1358770.0,1416180.0,1397090.0,1332050.0,1129100.0,978330.0,847420.0,1384500.0,1059460.0,785040.0,595070.0,1168450.0,442070.0,214950.0
1,Number of non-taxable returns,#,2012,8509040.0,2448110.0,1630310.0,1781050.0,1626230.0,585250.0,204970.0,96130.0,51070.0,29390.0,17920.0,12210.0,7290.0,8720.0,3620.0,1920.0,1120.0,2250.0,1090.0,410.0
2,Total number of returns,#,2012,25453210.0,2480270.0,1788000.0,2242600.0,2481330.0,1914430.0,1563740.0,1512310.0,1448150.0,1361440.0,1147030.0,990550.0,854710.0,1393220.0,1063090.0,786950.0,596190.0,1170700.0,443160.0,215350.0
3,Employment income,#,2012,16743200.0,1443690.0,947700.0,1040020.0,1015210.0,1027500.0,1007390.0,1029650.0,1039270.0,988090.0,883520.0,785030.0,693590.0,1146040.0,911270.0,689750.0,533300.0,1028950.0,368340.0,164890.0
4,Commissions (from employment),#,2012,496550.0,9410.0,20040.0,28110.0,30370.0,31170.0,31350.0,30840.0,29940.0,28320.0,25400.0,22800.0,20460.0,34810.0,27080.0,21330.0,17060.0,47760.0,26470.0,13840.0
5,Other employment income,#,2012,2198080.0,53610.0,70330.0,85410.0,88090.0,105430.0,118760.0,137870.0,149040.0,150750.0,133840.0,119960.0,108070.0,190010.0,157960.0,119930.0,89060.0,202630.0,80170.0,37170.0
6,Old Age Security pension (OASP),#,2012,5180620.0,83970.0,150280.0,472630.0,1136950.0,697630.0,429380.0,385860.0,326770.0,297210.0,211740.0,164170.0,133330.0,213020.0,130590.0,81200.0,53080.0,114340.0,58010.0,40470.0
7,CPP or QPP benefits,#,2012,6420070.0,120120.0,273470.0,604400.0,1144080.0,795000.0,526270.0,483680.0,424510.0,396560.0,293470.0,231710.0,189860.0,294270.0,183310.0,116090.0,75230.0,154970.0,69180.0,43910.0
8,Other pensions or superannuation,#,2012,3918610.0,16970.0,36090.0,109980.0,348080.0,515260.0,389050.0,378140.0,345180.0,333950.0,251040.0,200670.0,165190.0,257400.0,162370.0,103930.0,68240.0,143220.0,61250.0,32600.0
9,Elected split-pension amount,#,2012,1133990.0,10590.0,25760.0,72460.0,144370.0,141860.0,98460.0,118990.0,102490.0,124020.0,57670.0,34190.0,29120.0,58180.0,37080.0,24520.0,15270.0,25240.0,9340.0,4400.0
