,item,type,tax_year,< $0,$1 - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
0,Number of Taxable Returns,#,2008,1040.0,220970.0,739950.0,1271730.0,1471790.0,1425880.0,1515130.0,1479760.0,1268180.0,1079010.0,1703350.0,1267540.0,943150.0,692230.0,452510.0,887140.0,338030.0,187660.0
1,Number of Non-Taxable Returns,#,2008,763890.0,3590770.0,1857050.0,1171910.0,348840.0,121400.0,64410.0,36180.0,23690.0,11470.0,16690.0,4270.0,4320.0,1100.0,450.0,2650.0,590.0,370.0
2,Total Number of Returns,#,2008,764930.0,3811740.0,2597000.0,2443640.0,1820630.0,1547270.0,1579550.0,1515940.0,1291870.0,1090480.0,1720040.0,1271810.0,947470.0,693330.0,452950.0,889780.0,338620.0,188030.0
3,Employment Income,#,2008,21900.0,2005180.0,1176620.0,1162060.0,1095170.0,1065660.0,1115720.0,1101410.0,1016750.0,865920.0,1426040.0,1072020.0,823310.0,615050.0,402320.0,775320.0,273580.0,142200.0
4,Commissions (from Employment),#,2008,760.0,44450.0,33220.0,35820.0,31430.0,30340.0,30610.0,32770.0,28710.0,22710.0,39800.0,33380.0,28560.0,20960.0,17070.0,44710.0,22710.0,12360.0
5,Other Employment Income,#,2008,4270.0,143870.0,108130.0,115110.0,118140.0,117560.0,163320.0,159510.0,155630.0,137960.0,234730.0,197890.0,149410.0,115270.0,83100.0,175590.0,68930.0,38010.0
6,Old Age Security Pension,#,2008,5870.0,197630.0,658530.0,954540.0,518710.0,339290.0,341960.0,297050.0,202040.0,164280.0,216620.0,158690.0,92540.0,57010.0,36230.0,74620.0,36190.0,25040.0
7,CPP or QPP Benefits,#,2008,10220.0,432450.0,732700.0,1075440.0,620560.0,445500.0,450310.0,406110.0,285910.0,239970.0,317740.0,225160.0,135730.0,83840.0,52650.0,109460.0,49720.0,34300.0
8,Other Pensions or Superannuation,#,2008,2690.0,47670.0,83140.0,285570.0,327250.0,273020.0,313430.0,298900.0,232380.0,200690.0,277980.0,191890.0,119400.0,76230.0,47770.0,95460.0,37730.0,18760.0
9,Universal Child Care Benefit,#,2008,9740.0,513820.0,179720.0,139140.0,126300.0,114990.0,105250.0,84980.0,71140.0,56580.0,74500.0,42370.0,30960.0,20590.0,10920.0,14850.0,3900.0,1350.0
10,Employment Insurance Benefits,#,2008,3130.0,158290.0,226730.0,301030.0,289160.0,278830.0,249130.0,209520.0,163100.0,122040.0,159890.0,91630.0,55940.0,35020.0,17810.0,23260.0,4790.0,1020.0
11,Taxable Amount of Dividends,#,2008,8790.0,199050.0,171840.0,230540.0,231000.0,207250.0,245540.0,265790.0,226420.0,218220.0,357830.0,301030.0,242970.0,196690.0,143240.0,338970.0,173320.0,128080.0
12,Investment Income and Other Investment Income,#,2008,24500.0,780750.0,560790.0,852790.0,672000.0,571750.0,597850.0,596650.0,492100.0,442110.0,700270.0,540180.0,410230.0,310160.0,211480.0,454110.0,206910.0,147690.0
13,Registered Disability Savings Plan Income,#,2008,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
14,Net Rental Income,#,2008,15210.0,93760.0,66530.0,94210.0,84810.0,78600.0,87050.0,86570.0,80140.0,75130.0,110400.0,89270.0,70730.0,56460.0,41670.0,87610.0,43080.0,28710.0
